iucn_sid,sciname,common,subpop,habs,max_depth,cat,cat_score
3778,caperea marginata,pygmy right whale,NA,"10.1, 9.1",200 m +,lc,0
3851,carcharhinus limbatus,blacktip shark,NA,"10.1, 9.10, 9.4, 9.5, 9.6, 9.8",200 m +,vu,0.4
3852,carcharhinus obscurus,dusky shark,NA,"10.1, 10.2, 9.1",200 m +,en,0.6
3853,carcharhinus plumbeus,sandbar shark,NA,"11.1, 11.1.1, 11.1.2, 9.1, 9.10, 9.4, 9.5, 9.6",200 m +,en,0.6
3854,carcharias taurus,sand tiger shark,NA,"11.1, 11.1.1, 11.1.2, 9.1, 9.2, 9.4, 9.8",200 m +,cr,0.8
3855,carcharodon carcharias,white shark,NA,"10.1, 10.2, 10.3, 9.1, 9.10",200 m +,vu,0.4
3856,carcinoscorpius rotundicauda,horseshoe crab,NA,NA,unknown,dd,NA
3897,caretta caretta,loggerhead turtle,NA,"10.1, 12.2, 9.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.8, 9.9",200 m +,vu,0.4
3898,carettochelys insculpta,pig-nosed turtle,NA,9.5,< 200 m,en,0.6
4131,centropyge resplendens,resplendent pygmy angelfish,NA,9.2,< 200 m,lc,0
4159,cephalorhynchus commersonii,commerson's dolphin,NA,"10.1, 9.1, 9.10",200 m +,lc,0
4160,cephalorhynchus eutropia,chilean dolphin,NA,"9.1, 9.10",< 200 m,nt,0.2
4161,cephalorhynchus heavisidii,heaviside's dolphin,NA,"10.1, 9.1",200 m +,nt,0.2
4162,cephalorhynchus hectori,hector's dolphin,NA,9.1,< 200 m,en,0.6
4292,cetorhinus maximus,basking shark,NA,"10.1, 10.2, 10.3, 9.1",200 m +,en,0.6
4360,chaetodon flavocoronatus,yellow-crowned butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
4361,chaetodon litus,easter island butterflyfish,NA,"12.6, 9.2",< 200 m,lc,0
4362,chaetodon marleyi,doublesash butterflyfish,NA,"12.6, 9.10, 9.2, 9.8",< 200 m,lc,0
4363,prognathodes obliquus,oblique butterflyfish,NA,9.2,< 200 m,dd,NA
4364,chaetodon robustus,three-banded butterflyfish,NA,9.2,< 200 m,lc,0
4592,cheilinus undulatus,humphead wrasse,NA,"9.1, 9.8, 9.9",< 200 m,en,0.6
4615,chelonia mydas,green turtle,NA,"10.1, 12.2, 9.7, 9.9",200 m +,en,0.6
4805,chromis sanctaehelenae,st. helena chromis,NA,9.2,< 200 m,lc,0
4982,clinus spatulatus,bot river klipfish,NA,9.10,< 200 m,en,0.6
5119,collisella edmitchelli,NA,NA,NA,unknown,ex,1
5216,conacmella vagans,NA,NA,NA,unknown,dd,NA
5269,conus africanus,NA,NA,18,unknown,lc,0
5270,conus cepasi,NA,NA,NA,unknown,vu,0.4
5271,conus kohni,NA,NA,NA,unknown,dd,NA
5272,conus nobrei,NA,NA,"9.4, 9.7",< 200 m,nt,0.2
5273,conus zebroides,NA,NA,9.2,< 200 m,nt,0.2
5325,emblemariopsis tayrona,tayrona blenny,NA,"9.2, 9.8",< 200 m,lc,0
5362,coregonus artedi,cisco,NA,9.1,< 200 m,lc,0
5486,crassispira sacerdotalis,NA,NA,NA,unknown,dd,NA
5659,crocodylus acutus,american crocodile,NA,"12.1, 12.2, 12.7, 9.10",< 200 m,vu,0.4
5668,crocodylus porosus,saltwater crocodile,NA,"12.1, 9.10",< 200 m,lc,0
5675,croilia mossambica,burrowing goby,NA,"12.5, 9.10",< 200 m,lc,0
6069,cymatium parthenopaeum,NA,NA,9.1,< 200 m,lc,0
6202,cysticus gutta,NA,NA,NA,unknown,dd,NA
6203,cysticus josephinae,NA,NA,NA,unknown,dd,NA
6204,cystophora cristata,hooded seal,NA,"10.1, 10.2, 10.3, 12.1, 13.1, 17, 9.1",200 m +,vu,0.4
6229,dalatias licha,kitefin shark,NA,"10.1, 10.2, 11.1, 11.1.1, 11.1.2",200 m +,vu,0.4
6335,delphinapterus leucas,beluga whale,NA,"10.1, 10.2, 10.3, 9.1, 9.10",200 m +,lc,0
6494,dermochelys coriacea,leatherback,NA,"10.1, 12.2",200 m +,vu,0.4
6814,dunckerocampus dactyliophorus,banded pipefish,NA,"12.6, 9.8",< 200 m,dd,NA
6909,dugong dugon,dugong,NA,"12.2, 12.7, 9.10, 9.2, 9.4, 9.5, 9.6, 9.8, 9.9",< 200 m,vu,0.4
7011,echinus esculentus,european edible sea urchin,NA,NA,unknown,nt,0.2
7035,edwardsia ivelli,ivell's sea anemone,NA,NA,unknown,dd,NA
7134,eleotris sandwicensis,hawaii spinecheek gudgeon,NA,9.10,< 200 m,dd,NA
7135,eleotris melanosoma,broadhead sleeper,NA,"12.7, 9.10, 9.6",< 200 m,lc,0
7750,enhydra lutris,sea otter,NA,"10.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7",200 m +,en,0.6
7778,entomacrodus cadenati,west african rockhopper,NA,12.1,< 20 m,lc,0
7854,epinephelus drummondhayi,speckled hind,NA,9.2,< 200 m,dd,NA
7855,hyporthodus exsul,tenspine grouper,NA,"9.2, 9.4",< 200 m,lc,0
7858,epinephelus lanceolatus,giant grouper,NA,"15.11, 9.10, 9.2, 9.8",< 200 m,dd,NA
7859,epinephelus marginatus,dusky grouper,NA,9.2,< 200 m,vu,0.4
7860,hyporthodus nigritus,warsaw grouper,NA,"15.11, 9.2",< 200 m,nt,0.2
7861,hyporthodus niveatus,snowy grouper,NA,9.2,< 200 m,vu,0.4
7862,epinephelus striatus,nassau grouper,NA,"9.2, 9.8, 9.9",< 200 m,cr,0.8
8005,eretmochelys imbricata,hawksbill turtle,NA,"10.1, 12.2, 12.4, 12.7, 9.1, 9.2, 9.6, 9.7, 9.8, 9.8.1, 9.8.3, 9.9",200 m +,cr,0.8
8010,erignathus barbatus,bearded seal,NA,"10.1, 10.2, 12.2, 17, 9.1, 9.4, 9.5, 9.6",200 m +,lc,0
8012,erignathus barbatus ssp. barbatus,atlantic bearded seal,NA,"10.1, 10.2, 12.2, 17, 9.4, 9.5",200 m +,lc,0
8013,erignathus barbatus ssp. nauticus,pacific bearded seal,NA,"10.1, 10.2, 12.2, 17, 9.4, 9.5, 9.6",200 m +,lc,0
8097,eschrichtius robustus,gray whale,NA,"10.1, 9.1",200 m +,lc,0
8099,eschrichtius robustus,western gray whale,western subpopulation,"10.1, 9.1",200 m +,en,0.6
8153,eubalaena australis,southern right whale,NA,"10.1, 9.1",200 m +,lc,0
8239,eumetopias jubatus,steller sea lion,NA,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +,nt,0.2
8261,eunice viridis,samoan palolo worm,NA,NA,unknown,dd,NA
8262,eunicella verrucosa,pink sea fan,NA,NA,unknown,vu,0.4
8407,eurypegasus draconis,short dragonfish,NA,"9.10, 9.3, 9.4, 9.7, 9.8, 9.8.6, 9.9",< 200 m,lc,0
8408,eurypegasus papilio,hawaiian sea-moth fish,NA,"9.3, 9.4, 9.5, 9.6",< 200 m,lc,0
8409,eurypegasus draconis,little dragonfish,philippines stock,NA,unknown,vu,0.4
8551,feresa attenuata,pygmy killer whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
8784,gadus morhua,atlantic cod,NA,NA,unknown,vu,0.4
8817,galaxias argenteus,giant kokopu,NA,9.10,< 200 m,vu,0.4
8951,gasterosteus aculeatus,threespined stickleback,NA,"9.1, 9.10, 9.9",< 200 m,lc,0
9175,gibberula cucullata,NA,NA,NA,unknown,dd,NA
9176,gibberula modica,NA,NA,NA,unknown,dd,NA
9177,gibberula puntillum,NA,NA,NA,unknown,dd,NA
9249,globicephala macrorhynchus,short-finned pilot whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
9250,globicephala melas,long-finned pilot whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
9266,psammogobius biocellatus,sleepy goby,NA,"12.6, 12.7, 9.10, 9.4, 9.5",< 200 m,lc,0
9461,grampus griseus,risso's dolphin,NA,"10.1, 10.2, 10.3",200 m +,lc,0
9463,granulina parilis,NA,NA,NA,unknown,dd,NA
9660,halichoerus grypus,grey seal,NA,"10.1, 10.2, 12.1, 12.2, 12.3, 13.1, 17, 9.1",200 m +,lc,0
10016,heteropoma fulva,NA,NA,NA,unknown,dd,NA
10017,heteropoma glabratum,NA,NA,NA,unknown,dd,NA
10018,heteropoma pyramis,NA,NA,NA,unknown,dd,NA
10019,heteropoma quadrasi,NA,NA,NA,unknown,dd,NA
10020,heteropoma tuberculatum,NA,NA,NA,unknown,dd,NA
10021,heteropoma turritum,NA,NA,NA,unknown,dd,NA
10030,hexanchus griseus,bluntnose sixgill shark,NA,"11.1, 11.1.1, 11.1.2, 11.5",deep oceanic,nt,0.2
10056,hippocampus capensis,knysna seahorse,NA,"9.10, 9.9",< 200 m,en,0.6
10057,hippocampus abdominalis,pot-bellied seahorse,NA,"10.1, 12.5, 12.6, 15.11, 15.12, 9.1, 9.10, 9.2, 9.6, 9.7, 9.9",200 m +,lc,0
10060,hippocampus bargibanti,bargibant's seahorse,NA,9.8,< 200 m,dd,NA
10063,hippocampus breviceps,short-snouted seahorse,NA,"10.1, 12.4, 9.1, 9.10, 9.2, 9.7, 9.8, 9.9",200 m +,lc,0
10064,hippocampus camelopardalis,giraffe seahorse,NA,"9.10, 9.7, 9.8, 9.9",< 200 m,dd,NA
10065,hippocampus coronatus,high-crowned seahorse,NA,"9.7, 9.9",< 200 m,dd,NA
10066,hippocampus erectus,lined seahorse,NA,"12.7, 9.10, 9.2, 9.8, 9.9",< 200 m,vu,0.4
10069,hippocampus hippocampus,short-snouted seahorse,NA,"9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.8.4, 9.8.5, 9.8.6",< 200 m,dd,NA
10070,hippocampus histrix,thorny seahorse,NA,"9.7, 9.8, 9.8.1, 9.8.2, 9.8.5, 9.8.6, 9.9",< 200 m,vu,0.4
10072,hippocampus ingens,giant seahorse,NA,"12.7, 9.10, 9.2, 9.4, 9.7, 9.8",< 200 m,vu,0.4
10074,hippocampus jayakari,jayakar's seahorse,NA,"9.2, 9.4, 9.5, 9.6, 9.7, 9.9",< 200 m,lc,0
10075,hippocampus kuda,spotted seahorse,NA,"12.7, 9.1, 9.10, 9.6, 9.9",< 200 m,vu,0.4
10077,hippocampus minotaur,bullneck seahorse,NA,"9.2, 9.4, 9.8",< 200 m,dd,NA
10082,hippocampus reidi,long-snout seahorse,NA,"12.7, 17, 9.1, 9.10, 9.2, 9.6, 9.7, 9.8, 9.9",< 200 m,nt,0.2
10083,hippocampus sindonis,sindo's seahorse,NA,"9.6, 9.7, 9.8, 9.9",< 200 m,lc,0
10087,hippocampus trimaculatus,three-spot seahorse,NA,"9.4, 9.5, 9.6, 9.7, 9.8, 9.8.1, 9.8.5",< 200 m,vu,0.4
10088,hippocampus whitei,white's seahorse,NA,"15.11, 9.10, 9.7, 9.8, 9.9",< 200 m,en,0.6
10089,hippocampus zosterae,dwarf seahorse,NA,"9.7, 9.9",< 200 m,lc,0
10097,hippoglossus hippoglossus,atlantic halibut,NA,NA,unknown,en,0.6
10105,hippopus hippopus,horse's hoof clam,NA,NA,unknown,vu,0.4
10106,hippopus porcellanus,china clam,NA,NA,unknown,vu,0.4
10268,huso dauricus,kaluga,NA,9.10,< 200 m,cr,0.8
10269,huso huso,beluga,NA,"9.1, 9.10",< 200 m,cr,0.8
10273,huso huso,beluga,adriatic sea subpopulation,NA,unknown,ex,1
10303,hydrodamalis gigas,steller's sea cow,NA,9.7,< 200 m,ex,1
10340,hydrurga leptonyx,leopard seal,NA,"10.1, 10.2, 12.1, 12.2, 13.1, 17, 9.1",200 m +,lc,0
10707,hyperoodon ampullatus,northern bottlenose whale,NA,"10.1, 10.2, 10.3",200 m +,nt,0.2
10708,hyperoodon planifrons,southern bottlenose whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
10724,hypoplectrus providencianus,masked hamlet,NA,9.8,< 200 m,lc,0
10939,jenkinsia parvula,venezuelan herring,NA,"10.1, 9.1, 9.8, 9.9",200 m +,dd,NA
11030,knipowitschia caucasica,NA,NA,9.10,< 200 m,lc,0
11047,kogia breviceps,pygmy sperm whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
11048,kogia sima,dwarf sperm whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
11060,kuhlia marginata,silver flagtail,NA,9.10,< 200 m,lc,0
11130,lachnolaimus maximus,hogfish,NA,"9.8, 9.8.3",< 200 m,vu,0.4
11140,lagenodelphis hosei,fraser's dolphin,NA,"10.1, 9.1",200 m +,lc,0
11141,lagenorhynchus acutus,atlantic white-sided dolphin,NA,"10.1, 9.1",200 m +,lc,0
11142,lagenorhynchus albirostris,white-beaked dolphin,NA,"10.1, 9.1",200 m +,lc,0
11143,lagenorhynchus australis,peale's dolphin,NA,"9.1, 9.7",< 200 m,lc,0
11144,lagenorhynchus cruciger,hourglass dolphin,NA,"10.1, 9.1",200 m +,lc,0
11145,lagenorhynchus obliquidens,pacific white-sided dolphin,NA,"10.1, 9.1, 9.10",200 m +,lc,0
11146,lagenorhynchus obscurus,dusky dolphin,NA,"10.1, 10.2, 10.3, 9.1",200 m +,lc,0
11150,lagocephalus gloveri,brown-backed toadfish,NA,"9.10, 9.4, 9.5, 9.6",< 200 m,dd,NA
11191,ophioglossolambis violacea,NA,NA,NA,unknown,dd,NA
11200,lamna nasus,porbeagle,NA,"10.1, 10.2, 10.3, 9.1",200 m +,vu,0.4
11368,latiaxis babelis,NA,NA,NA,unknown,nt,0.2
11375,latimeria chalumnae,coelacanth,NA,"10.2, 9.1, 9.2",200 m +,cr,0.8
11501,lentipes concolor,oopu alamoo,NA,NA,unknown,dd,NA
11502,lentipes whittenorum,NA,NA,9.1,< 200 m,dd,NA
11533,lepidochelys kempii,kemp's ridley,NA,"10.1, 9.1, 9.1",200 m +,cr,0.8
11534,lepidochelys olivacea,olive ridley,NA,"10.1, 12.2, 9.1",200 m +,vu,0.4
11696,leptonychotes weddellii,weddell seal,NA,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +,lc,0
11987,limulus polyphemus,american horseshoe crab,NA,"12.2, 12.3, 12.4, 9.1, 9.4, 9.5",< 200 m,vu,0.4
12103,liosaccus pachygaster,NA,NA,NA,unknown,vu,0.4
12125,lissodelphis borealis,northern right whale dolphin,NA,"10.1, 9.1",200 m +,lc,0
12126,lissodelphis peronii,southern right whale dolphin,NA,"10.1, 10.2, 9.1",200 m +,lc,0
12137,lithognathus lithognathus,white steenbras,NA,"9.1, 9.3, 9.4",< 200 m,en,0.6
12242,littoraria flammea,NA,NA,NA,unknown,ex,1
12244,liza luciae,st. lucia mullet,NA,NA,unknown,en,0.6
12246,lobodon carcinophaga,crabeater seal,NA,"10.1, 10.2, 12.1, 13.1, 17, 9.1",200 m +,lc,0
12302,lontra canadensis,north american river otter,NA,"12.5, 9.1",< 200 m,lc,0
12303,lontra felina,marine otter,NA,"10.1, 12.1, 12.2, 13.1, 9.1, 9.2",200 m +,en,0.6
12305,lontra provocax,southern river otter,NA,"12.1, 12.2, 12.5, 13.1, 9.1",< 200 m,en,0.6
12382,lottia alveus,eelgrass limpet,NA,NA,unknown,ex,1
12404,luciogobius pallidus,well earthworm goby,NA,NA,unknown,dd,NA
12416,lutjanus analis,mutton snapper,NA,"9.2, 9.8, 9.9",< 200 m,nt,0.2
12417,lutjanus cyanopterus,cubera snapper,NA,"12.7, 9.2, 9.8",< 200 m,vu,0.4
12419,lutra lutra,eurasian otter,NA,"12.5, 9.1",< 200 m,nt,0.2
12421,lutra sumatrana,hairy-nosed otter,NA,"12.5, 9.1",< 200 m,en,0.6
12427,lutrogale perspicillata,smooth-coated otter,NA,"12.5, 9.1",< 200 m,vu,0.4
12695,malaclemys terrapin,diamondback terrapin,NA,"12.2, 12.4, 12.5, 12.7, 9.1, 9.3, 9.4, 9.5",< 200 m,vu,0.4
12807,marginella chalmersi,NA,NA,NA,unknown,dd,NA
12808,marginella gemma,NA,NA,NA,unknown,dd,NA
12809,marginella liparozona,NA,NA,NA,unknown,dd,NA
12810,marginella melvilli,NA,NA,NA,unknown,dd,NA
13006,megaptera novaeangliae,humpback whale,NA,"10.1, 9.1",200 m +,lc,0
13045,melanogrammus aeglefinus,haddock,NA,NA,unknown,vu,0.4
13145,menidia conchorum,key silverside,NA,"12.6, 9.1, 9.1",< 200 m,en,0.6
13232,mesogobius batrachocephalus,toad goby,NA,9.1,< 200 m,lc,0
13238,mesonerilla prospera,NA,NA,NA,unknown,cr,0.8
13241,mesoplodon bidens,sowerby's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13242,mesoplodon bowdoini,andrew's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,dd,NA
13243,mesoplodon carlhubbsi,hubbs' beaked whale,NA,"10.1, 10.2, 10.3",200 m +,dd,NA
13244,mesoplodon densirostris,blainville's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13245,mesoplodon europaeus,gervais' beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13247,mesoplodon grayi,gray's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13248,mesoplodon hectori,hector's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,dd,NA
13249,mesoplodon layardii,strap-toothed whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13250,mesoplodon mirus,true's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13251,mesoplodon peruvianus,pygmy beaked whale,NA,"10.1, 10.2, 10.3",200 m +,lc,0
13252,mesoplodon stejnegeri,stejneger's beaked whale,NA,"10.1, 10.2, 10.3",200 m +,nt,0.2
13581,mirounga angustirostris,northern elephant seal,NA,"10.1, 10.2, 10.3, 12.1, 13.1, 9.1",200 m +,lc,0
13583,mirounga leonina,southern elephant seal,NA,"10.1, 10.2, 10.3, 12.1, 12.2, 12.3, 13.1, 9.1",200 m +,lc,0
13653,monachus monachus,mediterranean monk seal,NA,"10.1, 12.1, 12.2, 13.1, 9.1",200 m +,en,0.6
13654,neomonachus schauinslandi,hawaiian monk seal,NA,"10.1, 10.2, 12.1, 12.2, 13.1, 9.1",200 m +,en,0.6
13655,neomonachus tropicalis,caribbean monk seal,NA,"10.1, 12.1, 12.2, 12.3, 13.1, 9.1",200 m +,ex,1
13704,monodon monoceros,narwhal,NA,"10.1, 10.2, 10.3, 9.1",200 m +,lc,0
13852,mordacia lapicida,lamprea de agua dulce,NA,NA,unknown,dd,NA
13932,muricopsis mariangelae,NA,NA,NA,unknown,dd,NA
13933,muricopsis matildae,NA,NA,NA,unknown,dd,NA
13934,muricopsis principensis,NA,NA,NA,unknown,dd,NA
14048,mycteroperca cidi,venezuelan grouper,NA,"9.1, 9.2, 9.8, 9.9",< 200 m,dd,NA
14049,mycteroperca jordani,gulf grouper,NA,"11.5, 12.7, 15.11, 9.1, 9.2, 9.4, 9.7",200 m +,en,0.6
14050,mycteroperca microlepis,gag,NA,"9.1, 9.2, 9.9",< 200 m,vu,0.4
14051,mycteroperca olfax,colorado grouper,NA,"12.7, 9.2, 9.4, 9.9",< 200 m,vu,0.4
14052,mycteroperca prionura,sawtail grouper,NA,9.2,< 200 m,dd,NA
14053,mycteroperca rosacea,leopard grouper,NA,"11.5, 9.2, 9.3, 9.7",200 m +,lc,0
14054,mycteroperca rubra,mottled grouper,NA,"15.11, 9.2, 9.3, 9.4",< 200 m,lc,0
14214,myoxocephalus quadricornis,fourhorn sculpin,NA,9.1,< 200 m,lc,0
14264,myxus capensis,freshwater mullet,NA,9.1,< 200 m,lc,0
14363,natator depressus,flatback,NA,NA,unknown,dd,NA
14500,nematostella vectensis,starlet sea anemone,NA,NA,unknown,vu,0.4
14549,neophoca cinerea,australian sea lion,NA,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +,en,0.6
14561,neorapana grandis,NA,NA,NA,unknown,dd,NA
14562,neosalanx reganius,ariake dwarf icefish,NA,9.1,< 200 m,en,0.6
14831,nodipecten magnificus,NA,NA,NA,unknown,dd,NA
15106,odobenus rosmarus,walrus,NA,"10.1, 10.2, 12.1, 12.2, 13.1, 17, 9.1, 9.4, 9.5, 9.6",200 m +,vu,0.4
15108,odobenus rosmarus ssp. rosmarus,atlantic walrus,NA,"10.1, 10.2, 12.2, 13.1, 17, 9.4, 9.5, 9.6",200 m +,nt,0.2
15184,ogilbia galapagosensis,galapagos cuskeel,NA,"9.2, 9.8",< 200 m,vu,0.4
15239,oxyurichthys keiensis,kei goby,NA,9.1,< 200 m,lc,0
15269,ommatophoca rossii,ross seal,NA,"10.1, 10.2, 13.1, 17, 9.1",200 m +,lc,0
15270,omphalotropis albocarinata,NA,NA,NA,unknown,dd,NA
15271,omphalotropis carolinensis,NA,NA,NA,unknown,dd,NA
15273,omphalotropis cookei,NA,NA,NA,unknown,dd,NA
15274,omphalotropis elegans,NA,NA,NA,unknown,dd,NA
15275,omphalotropis elongatula,NA,NA,NA,unknown,dd,NA
15276,omphalotropis erosa,NA,NA,NA,unknown,dd,NA
15278,omphalotropis fragilis,NA,NA,NA,unknown,dd,NA
15279,omphalotropis gracilis,NA,NA,NA,unknown,dd,NA
15280,omphalotropis guamensis,NA,NA,NA,unknown,dd,NA
15281,omphalotropis howeinsulae,NA,NA,NA,unknown,dd,NA
15283,omphalotropis laevigata,NA,NA,NA,unknown,dd,NA
15284,omphalotropis laticosta,NA,NA,NA,unknown,dd,NA
