am_sid,binomial
fis-24354,spirinchus thaleichthys
fis-29667,argentina sialis
fis-29725,leuroglossus stilbius
fis-30273,macropinna microstoma
fis-30707,tactostoma macropus
fis-29800,chauliodus macouni
fis-24364,synodus lucioceps
fis-47643,magnisudis atlantica
fis-23929,benthalbella dentata
fis-23950,ceratoscopelus townsendi
fis-29911,diaphus theta
fis-24003,diogenichthys laternatus
fis-149472,nannobrachium regale
fis-24154,notoscopelus resplendens
fis-24355,stenobrachius leucopsarus
fis-24371,tarletonbeania crenularis
fis-24386,triphoturus mexicanus
fis-24453,bagre panamensis
fis-30513,porichthys myriaster
fis-30514,porichthys notatus
fis-30057,gobiesox eugrammus
fis-24636,gobiesox maeandricus
fis-30059,gobiesox rhessodon
fis-30060,gobiesox strumosus
fis-24934,rimicola eigenmanni
fis-24935,rimicola muscarum
fis-166685,fowlerichthys avalonis
fis-24676,histrio histrio
fis-25051,zalieutes elater
fis-29877,cryptopsaras couesii
fis-57562,nezumia stelgidolepis
fis-24493,chilara taylori
fis-24832,ophidion scrippsae
fis-24471,brosmophycis marginata
fis-116143,grammonus diagrammus
fis-24432,lycodes cortezianus
fis-24469,bothrocara pusillum
fis-24651,gymnelus viridis
fis-30256,lycodapus fierasfer
fis-30257,lycodapus mandibularis
fis-30258,lycodapus parviceps
fis-30259,lycodes brevipes
fis-30260,lycodes diapterus
fis-30263,lycodes palearis
fis-14540,lycodes pacificus
fis-30269,lyconema barbatum
fis-24765,eucryphycus californicus
fis-131247,cheilopogon hubbsi
fis-30015,euleptorhamphus viridis
fis-30096,hemiramphus saltator
fis-24691,hyporhamphus rosae
fis-25008,strongylura exilis
fis-30025,fundulus parvipinnis
fis-24450,atherinops affinis
fis-29687,atherinopsis californiensis
fis-24738,leuresthes tenuis
fis-125235,zenopsis nebulosa
fis-30756,xenolepidichthys dalgleishi
fis-24609,eumecichthys fiski
fis-30248,lophotus lacepede
fis-29909,desmodema lorum
fis-24539,desmodema polystictum
fis-30736,trachipterus altivelis
fis-30737,trachipterus fukuzakii
fis-30575,regalecus glesne
fis-30682,stylephorus chordatus
fis-29704,aulorhynchus flavidus
fis-24923,pungitius pungitius
fis-24762,macroramphosus gracilis
fis-30113,hippocampus ingens
fis-25017,cosmocampus arctus
fis-25018,syngnathus auliscus
fis-30690,syngnathus californiensis
fis-30691,syngnathus euchrous
fis-30693,syngnathus leptorhynchus
fis-30676,stereolepis gigas
fis-29645,pronotogrammus multifasciatus
fis-24666,hemanthias peruanus
fis-24803,mycteroperca jordani
fis-30328,mycteroperca xenarcha
fis-24855,paralabrax clathratus
fis-24856,paralabrax maculatofasciatus
fis-24857,paralabrax nebulifer
fis-24518,cookeolus japonicus
fis-24919,pristigenys serrula
fis-24429,apogon guadalupensis
fis-24482,caulolatilus princeps
fis-24896,phtheirichthys lineatus
fis-24929,remora australis
fis-24930,remora brachyptera
fis-24931,remora osteochir
fis-7669,remora albescens
fis-30348,nematistius pectoralis
fis-29736,brama japonica
fis-29737,brama orcini
fis-24922,pteraclis aesticola
fis-30708,taractes asper
fis-25026,taractichthys steindachneri
fis-24605,eucinostomus gracilis
fis-24420,anisotremus davidsonii
fis-169081,haemulon californiensis
fis-24451,atractoscion nobilis
fis-24492,cheilotrema saturnum
fis-29883,cynoscion parvipinnis
fis-24772,menticirrhus undulatus
fis-24937,roncador stearnsii
fis-30655,seriphus politus
fis-30750,umbrina roncador
fis-24802,mulloidichthys dentatus
fis-24921,pseudupeneus grandisquamis
fis-24633,girella nigricans
fis-170445,kyphosus azureus
fis-24717,kyphosus analogus
fis-24766,medialuna californiensis
fis-170414,kyphosus ocyurus
fis-24489,chaetodipterus zonatus
fis-138631,prognathodes falcifer
fis-29623,amphistichus argenteus
fis-24417,amphistichus koelzi
fis-24418,amphistichus rhodoterus
fis-29735,brachyistius frenatus
fis-29881,cymatogaster aggregata
fis-29937,embiotoca jacksoni
fis-29938,embiotoca lateralis
fis-30133,hyperprosopon anale
fis-30134,hyperprosopon argenteum
fis-24686,hyperprosopon ellipticum
fis-24700,hypsurus caryi
fis-24781,micrometrus aurora
fis-24782,micrometrus minimus
fis-24890,phanerodon atripes
fis-30480,phanerodon furcatus
fis-30577,rhacochilus toxotes
fis-24933,rhacochilus vacca
fis-25050,zalembius rosaceus
fis-24501,chromis punctipinnis
fis-24701,hypsypops rubicundus
fis-24662,halichoeres semicinctus
fis-24844,oxyjulis californica
fis-24990,semicossyphus pulcher
fis-30668,sphyraena argentea
fis-24906,polydactylus approximans
fis-25031,trichodon trichodon
fis-29727,bathymaster leurolepis
fis-29728,bathymaster signatus
fis-24938,ronquilus jordani
fis-30155,kathetostoma averruncus
fis-151200,chaenopsis alepidota
fis-29876,cryptotrema corallinum
fis-24631,gibbonsia elegans
fis-30042,gibbonsia metzi
fis-30043,gibbonsia montereyensis
fis-30109,heterostichus rostratus
fis-30350,neoclinus blanchardi
fis-30351,neoclinus stephensae
fis-30352,neoclinus uninotatus
fis-24851,paraclinus integripinnis
fis-24694,hypsoblennius gentilis
fis-24695,hypsoblennius gilberti
fis-24698,hypsoblennius jenkinsi
fis-24407,alectrias alectrolophus
fis-154605,lumpenopsis hypochroma
fis-29639,anoplarchus insignis
fis-29640,anoplarchus purpurescens
fis-24472,bryozoichthys lysimus
fis-29743,bryozoichthys marjorius
fis-24483,cebidichthys violaceus
fis-24495,chirolophis decoratus
fis-24496,chirolophis nugator
fis-24750,lumpenella longirostris
fis-49057,leptoclinus maculatus
fis-24753,anisarchus medius
fis-30250,lumpenus sagitta
fis-24897,phytichthys chirus
fis-30496,plectobranchus evides
fis-30516,poroclinus rothrocki
fis-144084,stichaeus punctatus
fis-25045,xiphister atropurpureus
fis-25046,xiphister mucosus
fis-29659,apodichthys flavidus
fis-30485,pholis clemensi
fis-24891,rhodymenichthys dolichogaster
fis-24894,pholis laeta
fis-24895,pholis ornata
fis-30487,pholis schultzi
fis-10690,apodichthys fucorum
fis-29628,anarrhichthys ocellatus
fis-30556,ptilichthys goodei
fis-24758,cryptacanthodes aleutensis
fis-30630,scytalina cerdale
fis-30757,zaprora silenus
fis-29620,ammodytes hexapterus
fis-24542,dormitator latifrons
fis-24510,clevelandia ios
fis-57210,rhinogobiops nicholsii
fis-30052,gillichthys mirabilis
fis-113923,ctenogobius sagittula
fis-24713,ilypnus gilberti
fis-24728,lepidogobius lepidus
fis-24760,lythrypnus dalli
fis-24761,lythrypnus zebra
fis-24925,quietula ycauda
fis-30341,nealotus tripes
fis-24442,assurger anzac
fis-30195,lepidopus fitchi
fis-30712,tetrapturus angustirostris
fis-29879,cubiceps paradoxus
fis-30146,icichthys lockingtoni
fis-30523,psenes cyanophrys
fis-30524,psenes maculatus
fis-30525,psenes pellucidus
fis-30710,tetragonurus atlanticus
fis-30147,icosteus aenigmaticus
fis-30629,scorpaena guttata
fis-24946,scorpaenodes xyris
fis-24947,sebastes aleutianus
fis-24948,sebastes atrovirens
fis-30631,sebastes auriculatus
fis-24949,sebastes aurora
fis-24950,sebastes babcocki
fis-30632,sebastes borealis
fis-24951,sebastes brevispinis
fis-24952,sebastes carnatus
fis-30633,sebastes caurinus
fis-24953,sebastes chlorostictus
fis-24954,sebastes chrysomelas
fis-24956,sebastes constellatus
fis-24957,sebastes crameri
fis-14620,sebastes dallii
fis-24959,sebastes diploproa
fis-30634,sebastes elongatus
fis-24960,sebastes emphaeus
fis-30635,sebastes ensifer
fis-24961,sebastes eos
fis-24962,sebastes gilli
fis-24963,sebastes goodei
fis-30637,sebastes helvomaculatus
fis-24964,sebastes hopkinsi
fis-24965,sebastes jordani
fis-24966,sebastes levis
fis-24967,sebastes macdonaldi
fis-24968,sebastes maliger
fis-30639,sebastes melanops
fis-24969,sebastes melanostomus
fis-24970,sebastes miniatus
fis-24971,sebastes mystinus
fis-30641,sebastes nebulosus
fis-30642,sebastes nigrocinctus
fis-24972,sebastes ovalis
fis-30643,sebastes paucispinis
fis-24974,sebastes pinniger
fis-24976,sebastes proriger
fis-24977,sebastes rastrelliger
fis-24978,sebastes reedi
fis-30644,sebastes rosaceus
fis-30645,sebastes rosenblatti
fis-24979,sebastes ruberrimus
fis-24980,sebastes rubrivinctus
fis-24981,sebastes rufus
fis-24982,sebastes saxicola
fis-24983,sebastes semicinctus
fis-24984,sebastes serranoides
fis-24985,sebastes serriceps
fis-30886,sebastes simulator
fis-24986,sebastes umbrosus
fis-24987,sebastes wilsoni
fis-24988,sebastes zacentrus
fis-30888,sebastolobus alascanus
fis-30889,sebastolobus altivelis
fis-24464,bellator xenisma
fis-30878,prionotus stephanophrys
fis-24562,erilepis zonifer
fis-24672,hexagrammos decagrammus
fis-24673,hexagrammos lagocephalus
fis-24674,hexagrammos octogrammus
fis-30817,hexagrammos stelleri
fis-30854,oxylebius pictus
fis-24901,pleurogrammus monopterygius
fis-30909,zaniolepis frenata
fis-30910,zaniolepis latipinnis
fis-150528,archistes biseriatus
fis-24437,artedius corallinus
fis-24438,ruscarius creaseri
fis-30765,artedius fenestralis
fis-24439,artedius harringtoni
fis-24440,artedius lateralis
fis-30766,ruscarius meanyi
fis-30767,artedius notospilotus
fis-30768,ascelichthys rhodorus
fis-30769,asemichthys taylori
fis-24467,blepsias cirrhosus
fis-24498,chitonotus pugetensis
fis-24511,clinocottus acuticeps
fis-24512,clinocottus analis
fis-24513,clinocottus embryum
fis-24514,clinocottus globiceps
fis-24552,enophrys bison
fis-24553,enophrys diceraus
fis-30809,enophrys taurina
fis-24652,gymnocanthus galeatus
fis-24668,hemilepidotus hemilepidotus
fis-115192,hemilepidotus spinosus
fis-24671,hemitripterus bolini
fis-30822,icelinus burchami
fis-30823,icelinus cavifrons
fis-30824,icelinus filamentosus
fis-30825,icelinus fimbriatus
fis-24703,icelinus quadriseriatus
fis-30827,icelinus tenuis
fis-30829,icelus spiniger
fis-30830,jordania zonope
fis-30832,leptocottus armatus
fis-30843,malacocottus kincaidi
fis-24767,megalocottus platycephalus
fis-24768,hemilepidotus papilio
fis-24773,microcottus sellaris
fis-24808,myoxocephalus polyacanthocephalus
fis-24812,nautichthys oculofasciatus
fis-24813,nautichthys pribilovius
fis-30847,nautichthys robustus
fis-30851,oligocottus maculosus
fis-24825,oligocottus rimensis
fis-24826,oligocottus rubellio
fis-30852,oligocottus snyderi
fis-30857,paricelinus hopliticus
fis-30882,radulinus asprellus
fis-30883,radulinus boleoides
fis-14977,rhamphocottus richardsonii
fis-155578,scorpaenichthys marmoratus
fis-30901,synchirus gilli
fis-62940,triglops pingelii
fis-30905,triglops scepticus
fis-30759,agonomalus mozinoi
fis-24403,agonopsis sterletus
fis-24404,agonopsis vulsa
fis-147788,podothecus accipenserinus
fis-24421,anoplagonus inermis
fis-24441,aspidophoroides monopterygius
fis-24456,bathyagonus alascanus
fis-24457,bathyagonus infraspinatus
fis-30773,bathyagonus nigripinnis
fis-24458,bathyagonus pentacanthus
fis-24468,bothragonus swanii
fis-125929,chesnonia verrucosa
fis-30850,odontopyxis trispinosa
fis-24846,pallasina barbata
fis-24941,sarritor leptorhynchus
fis-25004,stellerina xyosterna
fis-25041,xeneretmus latifrons
fis-30906,xeneretmus leiops
fis-30907,xeneretmus ritteri
fis-25042,xeneretmus triacanthus
fis-24433,aptocyclus ventricosus
fis-30777,careproctus melanurus
fis-24744,liparis callyodon
fis-30834,liparis cyclopus
fis-30835,liparis gibbus
fis-30836,liparis dennyi
fis-24745,liparis florae
fis-30837,liparis fucensis
fis-30840,liparis mucosus
fis-30841,liparis pulchellus
fis-24746,liparis rutteri
fis-30848,nectoliparis pelagicus
fis-30856,paraliparis deani
fis-8227,polypera greeni
fis-30783,citharichthys fragilis
fis-24507,citharichthys sordidus
fis-30787,citharichthys stigmaeus
fis-30788,citharichthys xanthostigma
fis-30810,etropus crossotus
fis-30818,hippoglossina stomata
fis-24858,paralichthys californicus
fis-30908,xystreurys liolepis
fis-24545,embassichthys bathybius
fis-24555,eopsetta jordani
fis-10768,glyptocephalus zachirus
fis-24699,hypsopsetta guttulata
fis-24715,isopsetta isolepis
fis-17283,limanda proboscidea
fis-24759,lyopsetta exilis
fis-24786,microstomus pacificus
fis-30858,parophrys vetulus
fis-24899,platichthys stellatus
fis-30865,pleuronichthys coenosus
fis-30866,pleuronichthys decurrens
fis-30867,pleuronichthys ritteri
fis-30868,pleuronichthys verticalis
fis-30880,psettichthys melanostictus
fis-25011,symphurus atricaudus
fis-24409,aluterus monoceros
fis-24410,aluterus scriptus
fis-30772,balistes polylepis
fis-24478,canthidermis maculata
fis-25039,xanthichthys mento
fis-136019,lagocephalus lagocephalus
fis-24999,sphoeroides annulatus
fis-25000,sphoeroides lobatus
fis-25001,sphoeroides pachygaster
fis-30919,rondeletia loricata
fis-30920,barbourisia rufa
fis-25087,pervagor janthinosoma
fis-25127,secutor insidiator
fis-25133,gnathanodon speciosus
fis-25136,symbolophorus evermanni
fis-25150,dactyloptena orientalis
fis-30985,myctophum asperum
fis-30987,myctophum nitidulum
fis-30992,triodon macropterus
fis-25165,hygophum reinhardtii
fis-31001,hygophum proximum
fis-64476,omosudis lowii
fis-25178,notolychnus valdiviae
fis-31020,ceratias holboelli
fis-31023,centrophryne spinulosa
fis-25233,galeorhinus galeus
fis-31054,diodon holocanthus
fis-25293,lagocephalus sceleratus
fis-1099,sarda lineolata
fis-25351,halichoeres argus
fis-31134,anampses neoguinaicus
fis-31146,anampses elegans
fis-25421,promethichthys prometheus
fis-31199,setarches guentheri
fis-31214,cubiceps pauciradiatus
fis-58515,gonostoma atlanticum
fis-31217,harriotta raleighana
fis-31235,searsia koefoedi
fis-25456,avocettina infans
fis-31237,ectreposebastes imus
fis-31240,cyclothone acclinidens
fis-25469,poromitra crassiceps
fis-31242,scopelengys tristis
fis-25471,cheilopogon suttoni
fis-31244,prognichthys sealei
fis-25475,coryphaenoides armatus
fis-31254,stomias atriventer
fis-31255,melanostigma pammelas
fis-31256,borostomias panamensis
fis-31271,sagamichthys abei
fis-31335,parvilux ingens
fis-25561,genyagnus monopterygius
fis-25573,symbolophorus californiensis
fis-139602,lampanyctus ritteri
fis-25598,gymnothorax flavimarginatus
fis-25619,arothron hispidus
fis-31390,fistularia commersonii
fis-121730,scarus xanthopleura
fis-47564,oxycheilinus celebicus
fis-25720,halichoeres hartzfeldii
fis-160988,nectamia savayensis
fis-31547,kyphosus bigibbus
fis-25827,parascorpaena mossambica
fis-25834,scorpaenodes guamensis
fis-31568,alopias pelagicus
fis-31577,megachasma pelagios
fis-25899,pseudocarcharias kamoharai
fis-31825,sphyraena ensis
fis-31835,centropomus viridis
fis-8368,scarus tricolor
fis-166734,taeniurops meyeni
fis-149728,ostorhinchus endekataenia
fis-31868,chaetodon guentheri
fis-26176,oplegnathus punctatus
fis-26185,lactoria diaphana
fis-26206,benthosema suborbitale
fis-26212,choerodon jordani
fis-26216,cirrhitichthys aprinus
fis-31895,chaetodon plebeius
fis-31913,coris dorsomacula
fis-26246,gymnothorax eurostus
fis-26249,canthigaster rivulata
fis-26339,naso thynnoides
fis-26343,plectorhinchus lineatus
fis-26349,polyacanthonotus challengeri
fis-26350,histiobranchus bathybius
fis-26351,narcetes stomias
fis-26352,rouleina attrita
fis-32102,cyclothone pallida
fis-32103,cyclothone pseudopallida
fis-32104,argyropelecus hemigymnus
fis-136946,arctozenus risso
fis-26357,ceratoscopelus warmingii
fis-26373,taaningichthys bathyphilus
fis-32138,lycodapus pachysoma
fis-32247,discordipinna griessingeri
fis-26433,gobiodon histrio
fis-26434,oplopomus oplopomus
fis-26441,valenciennea longipinnis
fis-32269,eviota nebulosa
fis-26466,eviota prasina
fis-32276,eviota sigillata
fis-26477,solenostomus paradoxus
fis-26478,scorpaenodes albaiensis
fis-26479,scorpaenodes scaber
fis-26521,dasyatis brevis
fis-162326,sigmops elongatus
fis-26523,danaphos oculatus
fis-32330,sternoptyx diaphana
fis-32332,argyropelecus sladeni
fis-32336,opisthoproctus soleatus
fis-26525,synodus kaianus
fis-32337,synodus ulae
fis-136013,hime japonica
fis-26527,lestidiops mirabilis
fis-32340,bolinichthys distofax
fis-26531,diogenichthys atlanticus
fis-26532,lampadena luminosa
fis-32343,lampadena urophaos
fis-32344,lampanyctus nobilis
fis-32345,lampanyctus steinbecki
fis-32347,myctophum obtusirostre
fis-26534,taaningichthys minimus
fis-32349,taaningichthys paurolychnus
fis-32350,neoscopelus macrolepidotus
fis-26538,loweina rara
fis-26540,idiolychnus urolampus
fis-32353,diaphus adenomus
fis-32354,diaphus anderseni
fis-32355,diaphus brachycephalus
fis-120072,lampanyctus niger
fis-32361,gigantura indica
fis-32362,derichthys serpentinus
fis-26546,enchelycore pardalis
fis-32366,gymnothorax berndti
fis-26556,leiuranus semicinctus
fis-32376,ophichthus polyophthalmus
fis-32377,synaphobranchus affinis
fis-64212,serrivomer beanii
fis-32379,stemonidium hypomelas
fis-32380,periophthalmus argentilineatus
fis-32387,nettastoma solitarium
fis-26565,aldrovandia affinis
fis-26569,cheilopogon atrisignis
fis-32396,fusigobius signipinnis
fis-32415,crossosalarias macrospilus
fis-9972,ecsenius midas
fis-32421,nesiarchus nasutus
fis-32431,cirrhilabrus rubrimarginatus
fis-26604,uroconger lepturus
fis-26609,trachonurus villosus
fis-26611,mobula mobular
fis-32457,bassozetus robustus
fis-26621,eviota storthynx
fis-26628,antigonia rubescens
fis-32495,symphurus strictus
fis-26654,hemiramphus lutkei
fis-26655,hyporhamphus affinis
fis-26658,sargocentron praslin
fis-26659,kuhlia rupestris
fis-26666,festucalex erythraeus
fis-26672,bodianus perditio
fis-26676,phoxocampus belcheri
fis-26677,phoxocampus tetrophthalmus
fis-146179,iniistius pentadactylus
fis-26685,cyprinocirrhites polyactis
fis-32524,iracundus signifer
fis-26702,microcanthus strigatus
fis-26703,centropyge fisheri
fis-47953,blenniella gibbifrons
fis-62912,parapercis schauinslandii
fis-26786,monacanthus chinensis
fis-32628,apogon semiornatus
fis-26829,pisodonophis cancrivorus
fis-32714,myxine circifrons
fis-46980,oplegnathus insignis
fis-32717,muraena lentiginosa
fis-26908,emmelichthys struhsakeri
fis-26911,porichthys margaritatus
fis-26914,pseudobalistes naufragium
fis-26926,gnathophis nystromi
fis-26931,bathygobius andrei
fis-32739,bathygobius ramosus
fis-26932,gymnura poecilura
fis-26938,hypsoblennius brevipinnis
fis-26941,bodianus eclancheri
fis-26942,bothus constellatus
fis-32745,caulolatilus affinis
fis-32746,pomacentrus tripunctatus
fis-32747,chaetodon humeralis
fis-32748,chromis atrilobata
fis-32753,fistularia corneta
fis-26950,gobiosoma paradoxum
fis-32756,labrisomus multiporosus
fis-32757,labrisomus xanti
fis-26952,takifugu oblongus
fis-26955,torquigener hypselogeneion
fis-32767,rypticus nigripinnis
fis-32807,scarus perrico
fis-26997,callorhinchus callorynchus
fis-27016,albatrossia pectoralis
fis-32839,diplospinus multistriatus
fis-115687,coelorinchus scaphopsis
fis-27025,coryphaenoides acrolepis
fis-27028,coryphaenoides cinereus
fis-27038,helcogramma ellioti
fis-27043,nezumia liolepis
fis-32896,benthodesmus pacificus
fis-27057,benthodesmus tenuis
fis-128236,fowleria vaiulae
fis-33019,acanthopsetta nadeshnyi
fis-27194,clidoderma asperrimum
fis-27226,lamprogrammus brunswigi
fis-27245,spectrunculus grandis
fis-33124,xyelacyba myersi
fis-27254,aldrovandia phalacra
fis-33148,cetostoma regani
fis-27269,ditropichthys storeri
fis-33155,melamphaes longivelis
fis-27275,diretmoides pauciradiatus
fis-27300,dysomma brevirostre
fis-133336,simenchelys parasitica
fis-33178,ilyophis brunneus
fis-33180,labichthys carinatus
fis-33181,cyema atrum
fis-33191,bathylychnops exilis
fis-27304,dolichopteryx longipes
fis-15136,monacoa grimaldii
fis-33217,radiicephalus elongatus
fis-33219,ahliesaurus berryi
fis-33224,scopelosaurus smithii
fis-33227,leptochilichthys agassizii
fis-139727,dolicholagus longirostris
fis-27333,encheliophis gracilis
fis-165216,ostorhinchus cookii
fis-131852,amblyraja hyperborea
fis-33413,leuroglossus schmidti
fis-163780,hyporthodus niphobles
fis-27531,cubiceps capensis
fis-152317,psammogobius biocellatus
fis-52356,cyclothone alba
fis-33740,cyclothone obscura
fis-27598,bajacalifornia megalops
fis-27688,gymnothorax kidako
fis-27692,neonesthes capensis
fis-33789,diplophos taenia
fis-33790,malacosteus niger
fis-27694,gymnothorax reevesii
fis-33796,sternoptyx pseudobscura
fis-33797,stomias affinis
fis-27700,diaphus splendidus
fis-33804,diceratias pileatus
fis-27714,chilomycterus reticulatus
fis-27715,masturus lanceolatus
fis-33819,astronesthes indicus
fis-33821,echiostoma barbatum
fis-33828,nettastoma parviceps
fis-33845,diaphus garmani
fis-33850,polymixia berndti
fis-53495,scopelogadus mizolepis
fis-27745,ostichthys kaianus
fis-33860,psenes arafurensis
fis-33933,stemonosudis rothschildi
fis-33941,bembradium roseum
fis-27813,taractes rubescens
fis-33957,symphysanodon maunaloae
fis-27823,ariomma brevimanus
fis-27829,ophidion muraenolepis
fis-27841,bathycongrus guttulatus
